method,surface,log_range,parameter,relative_error_pct,abs_relative_error_pct,convergence_failure
"5D L-BFGS-B (analytical grad)",asymmetric,0.568421,B,8.638633877708238e-07,8.638633877708238e-07,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.568421,alpha,-7.954451911966014e-08,7.954451911966014e-08,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.568421,beta,2.483503367114376e-07,2.483503367114376e-07,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.657895,E,3.114059784527412e-05,3.114059784527412e-05,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.657895,A,5.840945700861192e-05,5.840945700861192e-05,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.657895,B,2.6308589866595828e-05,2.6308589866595828e-05,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.657895,alpha,1.3052600374495893e-05,1.3052600374495893e-05,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.657895,beta,7.617077810789259e-06,7.617077810789259e-06,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.747368,E,-1.5130355351254619e-06,1.5130355351254619e-06,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.747368,A,-3.1964793856428784e-06,3.1964793856428784e-06,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.747368,B,-1.2474738227501316e-06,1.2474738227501316e-06,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.747368,alpha,-7.050592606763027e-07,7.050592606763027e-07,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.747368,beta,-3.6260222423211895e-07,3.6260222423211895e-07,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.836842,E,-5.904094216811573e-05,5.904094216811573e-05,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.836842,A,7.113874857518424e-06,7.113874857518424e-06,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.836842,B,-8.2846862417755e-05,8.2846862417755e-05,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.836842,alpha,2.072060981576336e-06,2.072060981576336e-06,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.836842,beta,-2.404068877662292e-05,2.404068877662292e-05,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.926316,E,-6.349991512229819e-06,6.349991512229819e-06,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.926316,A,-7.757474257014862e-06,7.757474257014862e-06,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.926316,B,-5.413177366678425e-06,5.413177366678425e-06,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.926316,alpha,-1.7658507989182226e-06,1.7658507989182226e-06,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.926316,beta,-1.630011430490739e-06,1.630011430490739e-06,False
